link	source_url	download_link	title	content_type	id	caption	description	source_section	retrieval_pattern	context_description	file_extension	pub_title	raw_data_format	file_info	section_class	a_attr_href	a_attr_class	a_attr_data-ga-action	a_attr_target	a_attr_rel
mmc1.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12183994/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12183994/bin/mmc1.docx	No Title	local-data	ecom0001	No description	Image,  application  1	supplementary material	.//supplementary-material		docx	Effects of the Davos Alzheimer's Collaborative early detection of cognitive impairment program on clinician attitudes, engagement, and confidence	XML							
sj-docx-1-alz-10.1177_13872877251378653.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12614907/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12614907/bin/sj-docx-1-alz-10.1177_13872877251378653.docx	sj-docx-1-alz-10.1177_13872877251378653 - Supplemental material for Targeted serum metabolomic profiling and machine learning approach in Alzheimer's disease using the Alzheimer's disease diagnostics clinical study (ADDIA) cohort	local-data	suppl1-13872877251378653	No description	sj-docx-1-alz-10.1177_13872877251378653  -  Supplemental  material  for  Targeted  serum  metabolomic  profiling  and  machine  learning  approach  in  Alzheimer's  disease  using  the  Alzheimer's  disease  diagnostics  clinical  study  (ADDIA)  cohort  Supplemental  material,  sj-docx-1-alz-10.1177_13872877251378653  for  Targeted  serum  metabolomic  profiling  and  machine  learning  approach  in  Alzheimer's  disease  using  the  Alzheimer's  disease  diagnostics  clinical  study  (ADDIA)  cohort  by  Dany  Mukesha,  Maité  Sarter,  Mélitine  Dubray,  Floris  Durand,  Stéphanie  Boutillier,  Lucas  D  Pham-Van,  David  Halter,  Seval  Kul,  Frédéric  Blanc,  Hakan  Gürvit,  Tamer  Demiralp,  Bruno  Dubois,  Audrey  Gabelle,  Moira  Marizzoni,  Giovanni  B  Frisoni,  Florence  Pasquier,  François  Sellal,  Adrian  Ivanoiu,  Jean-Christophe  Bier,  Renaud  David,  Jean-François  Démonet,  Eloi  Magnin,  Guillaume  Sacco  and  Hüseyin  Firat  in  Clinical  Rehabilitation	supplementary material	.//supplementary-material		docx	Targeted serum metabolomic profiling and machine learning approach in Alzheimer's disease using the Alzheimer's disease diagnostics clinical study (ADDIA) cohort	XML							
elife-108952-mdarchecklist1.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12928703/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12928703/bin/elife-108952-mdarchecklist1.pdf	No Title	local-data	mdar	No description	MDAR  checklist	supplementary material	.//supplementary-material		pdf	The influence of sample size and covariate distributions on neuroanatomical normative modeling	XML							
ALZ-22-e71162-s002.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12892302/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12892302/bin/ALZ-22-e71162-s002.docx	No Title	local-data	alz71162-supitem-0001	Supporting Information	Supporting  Information	supplementary material	.//supplementary-material		docx	AI‐enhanced Centiloid quantification of amyloid PET images	XML							
ALZ-22-e71162-s001.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12892302/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12892302/bin/ALZ-22-e71162-s001.pdf	No Title	local-data	alz71162-supitem-0002	Supporting Information	Supporting  Information	supplementary material	.//supplementary-material		pdf	AI‐enhanced Centiloid quantification of amyloid PET images	XML							
ALZ-22-e71009-s001.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12805464/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12805464/bin/ALZ-22-e71009-s001.pdf	No Title	local-data	alz71009-supitem-0001	Supporting information	Supporting  information	supplementary material	.//supplementary-material		pdf	Elecsys pTau217 plasma immunoassay detection of amyloid pathology in clinical cohorts	XML							
ALZ-22-e71009-s003.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12805464/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12805464/bin/ALZ-22-e71009-s003.docx	No Title	local-data	alz71009-supitem-0002	Supporting information	Supporting  information	supplementary material	.//supplementary-material		docx	Elecsys pTau217 plasma immunoassay detection of amyloid pathology in clinical cohorts	XML							
ALZ-22-e71009-s004.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12805464/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12805464/bin/ALZ-22-e71009-s004.docx	No Title	local-data	alz71009-supitem-0003	Supporting information	Supporting  information	supplementary material	.//supplementary-material		docx	Elecsys pTau217 plasma immunoassay detection of amyloid pathology in clinical cohorts	XML							
ALZ-22-e71009-s002.xlsx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12805464/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12805464/bin/ALZ-22-e71009-s002.xlsx	No Title	local-data	alz71009-supitem-0004	Supporting information	Supporting  information	supplementary material	.//supplementary-material		xlsx	Elecsys pTau217 plasma immunoassay detection of amyloid pathology in clinical cohorts	XML							
NIHMS2137467-supplement-Supplemental.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12951793/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12951793/bin/NIHMS2137467-supplement-Supplemental.docx	No Title	local-data	SD1	No description	Supplemental	supplementary material	.//supplementary-material	"Missing data counts are low and negligible ( Supplemental Figure 1 [this file] ) and sensitivity analysis of imputed data (using the multiple imputation via chained equation algorithm) yielded nearly the same results (not shown). 
A total of 3,589 individuals from the ADOPIC dataset had at least 1 brain MRI that included a FLAIR sequence ( Supp Figure 1 [this file] ). FSRP has a log-normal distribution for each study ( Supp Figure 2 [this file] ). 
The results for the absolute regional WMH analysis were similar cross-sectionally but revealed less region specificity for WMH growth (see Supp Table 1 [this file] ). 
However, for absolute WMH volumes within all 5 regions, there were significant positive and negative associations between FSRP and WMH cross-sectionally and longitudinally, respectively ( Supplemental Table 1 [this file] ), mirroring the global analysis. 
Note, however, that in this study, beta-amyloid deposition was also significantly associated with faster absolute WMH growth in 3 of the other 4 regions assessed ( Supplemental Table 1 [this file] ), suggesting that the parietal region may not be exclusively affected by beta-amyloid pathology. 
This relatively constant rate of log WMH growth supports an exponential growth pattern over linear growth (see Supplemental Materials [this file] for explanation)."	docx	Regional growth rates of white matter hyperintensities are associated with beta-amyloid burden	XML							
mmc1.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12869057/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12869057/bin/mmc1.docx	No Title	local-data	ecom0001	No description	Image,  application  1	supplementary material	.//supplementary-material		docx	Plasma Aβ42/40 predicts progression from Aβ-amyloid negative to positive PET scans	XML							
13195_2025_1925_MOESM1_ESM.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12781432/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12781432/bin/13195_2025_1925_MOESM1_ESM.docx	No Title	local-data	MOESM1	Supplementary Material 1.	Supplementary  Material  1.	supplementary material	.//supplementary-material		docx	Individualized prediction of clinical progression to dementia using plasma biomarkers in non-demented elderly	XML							
media-1.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12668057/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12668057/bin/media-1.pdf	No Title	local-data	SD1	No description	Supplement  1	supplementary material	.//supplementary-material	"PTau-217 was associated with clinical impairment (mean log hazard ratio: 1.62 (SD: 0.13), p-value range: 3.39e-33 – 8.34e-9 across scenarios; Table S2 [this file] , Table S1 [this file] ) but did not significantly increase predictive performance beyond demographics, APOE, and Lancet factors. The range of increases in mean AUROC when adding pTau-217 was 0.045–0.084 compared to Demographics+APOE+Lancet (0.616 (CI: 0.51–0.723) vs. 0.701 (CI: 0.609–0.793); Figure 2B [rid=F2] ). 6/25 p-values were statistically significant ( Figure S1 [this file] ), occurring at Years 4 (2/5 folds), 5(1), and 7(3). Years 3 and 6 had no significant p-values, and neither did Folds 1 and 5, pointing to a lack of robustness ( Table S3 [this file] ). 3/6 significant p-values were all at 7 years, which had less stable estimates due to lower sample sizes (i.e., by 7 years, more patients had been censored or experienced the event). All AUROC statistics are in Table S6 [this file] . 
Amyloid-PET was significantly associated with clinical impairment (mean log hazard ratio: 1.01 (SD: 0.0035), p-value range: 3.16e-32 – 0.0017; Table S2 [this file] ). The largest difference in mean AUROC between PET+Demographics+Lancet and Demographics+Lancet was 0.108 at 5 years compared to Demographics+APOE+Lancet (0.615 (CI: 0.533–0.696) vs. 0.722 (CI: 0.655–0.789)), indicating increased predictive performance. 15/25 p-values were statistically significant ( Figure S2 [this file] ), occurring at Years 3 (1/5 folds), 4 (2), 5 (5), 6 (3), 7 (4) ( Table S4 [this file] ). 
These results were consistent when only including patients who were amyloid-positive at enrollment time ( Figure S4 [this file] ). 
Using the PACC score as a continuous outcome, Demographics+APOE+Lancet had a similar (mean: 0.125, SD: 0.026) to pTau-217 alone (mean: 0.137, SD: 0.033), but inferior to pTau-217+Demo+Lancet (mean: 0.199, SD: 0.029) ( Figure S5 [this file] ). 
Again, pTau-217 was statistically associated with AD (mean hazard ratio: 2.37 (SD: 0.4), p-value range: 4.12e-11 – 1.13e-3, Figure S6A [this file] ; Table S8 [this file] ) but did not increase predictive performance when added to a model consisting of demographics, APOE genotype, and Lancet factors. 
The range of differences in mean AUROC was 0.021–0.04, with 0.04 at 7 years compared to Demographics+APOE+Lancet (0.927 (CI: 0.885–0.97) vs. 0.967 (CI: 0.943–991); Figure S6B [this file] ). 9/30 p-values were statistically significant, occurring at Years 2 (3/5 folds), 3 (1), 4 (2), 5 (1), 6 (1), and 7(1) ( Table S9 [this file] ). 
These results remained largely unchanged when using all-cause dementia as the outcome ( Figure S7 [this file] ). 
Amyloid-PET was associated with AD diagnosis (mean log hazard ratio: 1.013 (SD: 0.0015), p-value range: 1.05e-36 – 4.79e-14 ( Table S10 [this file] , S12 [this file] ), but its predictive performance in combination with demographics and APOE genotype was comparable to demographics and APOE alone across nine yearly time points ( Figure 3 [rid=F3] ). The range of differences in mean AUROC was 0.055–0.074, with 0.074 at 5 years compared to Demographics (0.561 (CI: 0.468–0.653) vs. 0.635 (CI: 0.537–0.733); Figure 3B [rid=F3] ; Table S14 [this file] ). 15/45 p-values were statistically significant ( Figure S8 [this file] ) at Years 4 (1), 5 (3), 6 (2), 7 (1), 8 (2), 9 (3), 10 (3) (Years 2 and 3 had none; Table S3 [this file] ), pointing to a lack of robust differences. 
These results remained largely unchanged when using all-cause dementia as the outcome ( Figure S9 [this file] ). 
Next, we predicted AD in NACC using CSF Abeta42, pTau-181, total tau, and pTau-181/Abeta42 ratio, along with demographics, APOE, and Lancet factors ( Table S15 [this file] ). 
The range of mean AUROC differences between Demo+APOE+Lancet and CSF+Demo+APOE+Lancet was 0.072–0.127, with 0.127 at 2 years (0.627 (CI: 0.438–0.816) vs. 0.754 (CI: 0.577–0.931); Figure 4B [rid=F4] ; Table S17 [this file] ). 20/45 p-values were statistically significant ( Figure S10 [this file] ) at Years 2 (2/5 folds), 3 (2), 4 (2), 5 (2), 6 (3), 7 (3), 8 (2), 9 (2), 10 (2) ( Table S16 [this file] ), showing a lack of robustness. 
These results remained largely unchanged when using all-cause dementia as the outcome ( Figure S11 [this file] ). 
Using auto-machine learning, we trained LightGBM classifiers models on the UK Biobank plasma proteomics sample (N=10669; 496 cases) ( Figure S12 [this file] ), using combinations of proteomics (Note: this dataset does not include pTau-217 or any other form of pTau), demographics, APOE genotype, and Lancet factors. 
These results were largely similar when either removing the age filter ( Figure S12 [this file] ), when the outcome was all-cause dementia ( Figures S15 [this file] , S16 [this file] ), and when using logistic regression models instead of LightGBM ( Figures S13 [this file] , S14 [this file] , S17 [this file] , S18 [this file] ). 
The top 20 features for the Demo+APOE+IDPs+Lancet model showed mostly IDPs, with the top five being volume of the subiculum-body, APOEe4 heterozygosity, mean isotropic volume fraction in the corticospinal tract, a rfMRI correlation amplitude, volume of left presubiculumhead, and another rfMRI correlation magnitude ( Figure S19D [this file] ). These results were largely similar when removing the age filter ( Figure S19 [this file] ), when the outcome was all-cause dementia ( Figures S22 [this file] , S23 [this file] ), and when using logistic regression models instead of LightGBM ( Figures S20 [this file] , S21 [this file] , S24 [this file] , S25 [this file] ). 
Examining the top 20 features for the maximal Demo+APOE+Cognitive Tests+Lancet model showed a blend of cognitive tests (symbol-digit matches, fluid intelligence score, nervous mood over the last week), demographics (Age, APOE genotype), and Lancet factors (head injury, distance to nearest major road, depression, air pollution, smoking, LDL) ( Figure S26D [this file] ). These results were largely similar when removing the age filter ( Figure S26 [this file] ), when the outcome was all-cause dementia ( Figures S29 [this file] , S30 [this file] ), and when using logistic regression models instead of LightGBM ( Figures S27 [this file] , S28 [this file] , S31 [this file] , S32 [this file] ). 
The criteria and methodology for AD diagnosis in each cohort is described in the Supplemental Methods [this file] ."	pdf	Prognostic performance across Alzheimer’s biomarkers, multi-modal physiological measures, and clinical history in asymptomatic individuals	XML							
13148_2025_2015_MOESM1_ESM.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12648935/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12648935/bin/13148_2025_2015_MOESM1_ESM.pdf	No Title	local-data	MOESM1	Supplementary Material 1	Supplementary  Material  1	supplementary material	.//supplementary-material		pdf	Association of blood-based DNA methylation of lncRNAs with Alzheimer’s disease diagnosis	XML							
13148_2025_2015_MOESM2_ESM.xlsx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12648935/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12648935/bin/13148_2025_2015_MOESM2_ESM.xlsx	No Title	local-data	MOESM2	Supplementary Material 2	Supplementary  Material  2	supplementary material	.//supplementary-material		xlsx	Association of blood-based DNA methylation of lncRNAs with Alzheimer’s disease diagnosis	XML							
41598_2025_26227_MOESM1_ESM.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12612133/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12612133/bin/41598_2025_26227_MOESM1_ESM.docx	No Title	local-data	MOESM1	Supplementary Material 1	Supplementary  Material  1	supplementary material	.//supplementary-material	See Supplementary Table S1 [this file] for statistics reported for each cohort.	docx	An unsupervised XAI framework for dementia detection with context enrichment	XML							
media-1.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12407829/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12407829/bin/media-1.pdf	No Title	local-data	SD1	No description	Supplement  1	supplementary material	.//supplementary-material	"Using Warped Bayesian Linear Regression ( Fraza et al., 2021 [rid=R18] ), we trained normative models for 167 neuroanatomical regions of interest (ROI) using two independent datasets, OASIS-3 and AIBL ( Figure 1 [rid=F1] , Table 1 [rid=T1] , see Supplementary Figures S17 [this file] – S33 [this file] for the replication in AIBL). 
Individual effects of sample size for the different age and sex distributions are presented in supplementary material ( Figures S1 [this file] – 3 [this file] ) and importantly we replicated these findings in an independent dataset (AIBL) ( Figures S17 [this file] – 20 [this file] , Tables S5 [this file] – 6 [this file] ). 
Highly similar results were found for the AIBL dataset, with the exception that the right-skewed distribution led to a larger effect than in the OASIS-3 dataset ( Figure S21 [this file] , Tables S5 [this file] – S6 [this file] ). 
Importantly, all findings from the clinical validation analyses were replicated in the independent AIBL dataset ( Figures S22 [this file] , Tables S7 [this file] – S8 [this file] ). 
The full replication of the previous analysis using UKB-adapted models to OASIS-3 and AIBL is provided in the Supplementary Materials [this file] ( Figures S9 [this file] – 16 [this file] and S26 [this file] – 33 [this file] respectively). 
Additionally, we replicated all analyses conducted in the direct training setting, including covariate skewing, and present the adapted versions in the Supplementary Materials [this file] ."	pdf	Toward Robust Neuroanatomical Normative Models: Influence of Sample Size and Covariates Distributions	XML							
aa_24_2694_file002_afaf198.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12288498/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12288498/bin/aa_24_2694_file002_afaf198.docx	No Title	local-data	sup1	No description	aa_24_2694_File002_afaf198	supplementary material	.//supplementary-material	"The preprocessing of AIBL dataset is detailed in Appendix (A) [this file] . The initial predictors for FFM include age, sex, apolipoprotein E (APOE)-ε4 carrier status, and neuropsychological test results ( Appendix A: [this file]eTable [this file]1 [this file] , eFigure [this file]1 [this file] ). We provide a lay term description here and a flow chart ( Appendix A: [this file]eFigure [this file]2 [this file] ) to assist the readers to understand the methodology. The technical methodology is available in Appendix (A) [this file]. 
eMethods [this file] 
The statistical methods have been detailed in Appendix (A) [this file] . 
Detailed information regarding the neuropsychology tests is available in Appendix (A): [this file]eTable [this file]1 [this file] . 
Participants characteristic selected for constructing the FFM to predict MMSE score is summarised in Appendix (A) [this file]eTable [this file]1 [this file] . 
Our simulation trial and missing data trial yielded promising results using the web-based FFM tool ( Appendix A: [this file]eTable [this file]2 [this file] )."	docx	Development and validation of a model to predict the progression of Alzheimer’s disease	XML							
appendix_(b)_zip_file_afaf198.zip	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12288498/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12288498/bin/appendix_(b)_zip_file_afaf198.zip	No Title	local-data	sup2	No description	Appendix_(B)_zip_file_afaf198	supplementary material	.//supplementary-material	"The selection frequency and average number of selected features generated from the three-fold cross-validation are provided in the Appendix (B) [this file] . 
The selection frequency for features (e.g. neuropsychological assessment, age, sex, APOE-ε4 carrier status) and the average number of features used for each machine learning model during the three-fold cross-validation are provided in the Appendix (B) [this file]Zip [this file]file [this file] . 
The trial results are presented in Appendix (C) [this file]eTable [this file]2 [this file] . We have provided three case studies in Appendix (C): [this file]eFigure [this file]3 [this file] ."	zip	Development and validation of a model to predict the progression of Alzheimer’s disease	XML							
sj-docx-1-alz-10.1177_13872877251331222.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12583655/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12583655/bin/sj-docx-1-alz-10.1177_13872877251331222.docx	sj-docx-1-alz-10.1177_13872877251331222 - Supplemental material for A computational ontology framework for the synthesis of multi-level pathology reports from brain MRI scans	local-data	suppl1-13872877251331222	No description	sj-docx-1-alz-10.1177_13872877251331222  -  Supplemental  material  for  A  computational  ontology  framework  for  the  synthesis  of  multi-level  pathology  reports  from  brain  MRI  scans  Supplemental  material,  sj-docx-1-alz-10.1177_13872877251331222  for  A  computational  ontology  framework  for  the  synthesis  of  multi-level  pathology  reports  from  brain  MRI  scans  by  Devesh  Singh,  Alice  Grazia,  Achim  Reiz,  Andreas  Hermann,  Slawek  Altenstein,  Lukas  Beichert,  Alexander  Bernhardt,  Katharina  Buerger,  Michaela  Butryn,  Peter  Dechent,  Emrah  Duezel,  Michael  Ewers,  Klaus  Fliessbach,  Silka  D  Freiesleben,  Wenzel  Glanz,  Stefan  Hetzer,  Daniel  Janowitz,  Ingo  Kilimann,  Okka  Kimmich,  Christoph  Laske,  Johannes  Levin,  Andrea  Lohse,  Falk  Luesebrink,  Matthias  Munk,  Robert  Perneczky,  Oliver  Peters,  Lukas  Preis,  Josef  Priller,  Johannes  Prudlo,  Boris  S  Rauchmann,  Ayda  Rostamzadeh,  Nina  Roy-Kluth,  Klaus  Scheffler,  Anja  Schneider,  Luisa  S  Schneider,  Björn  H  Schott,  Annika  Spottke,  Eike  J  Spruth,  Matthis  Synofzik,  Jens  Wiltfang,  Frank  Jessen,  Stefan  J  Teipel,  Martin  Dyrba,  ,  ,  and  in  Journal  of  Alzheimer's  Disease	supplementary material	.//supplementary-material		docx	A computational ontology framework for the synthesis of multi-level pathology reports from brain MRI scans	XML							
mmc1.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12434242/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12434242/bin/mmc1.docx	No Title	local-data	ecom0001	No description	Image,  application  1	supplementary material	.//supplementary-material		docx	Baseline habitual dietary nitrate intake and Alzheimer's Disease related neuroimaging biomarkers in the Australian Imaging, Biomarkers and Lifestyle study of ageing	XML							
13195_2025_1713_MOESM1_ESM.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11987288/	https://pmc.ncbi.nlm.nih.gov/articles/instance/11987288/bin/13195_2025_1713_MOESM1_ESM.pdf	No Title	local-data	MOESM1	Supplementary Material 1.	Supplementary  Material  1.	supplementary material	.//supplementary-material		pdf	Atrophy trajectories in Alzheimer’s disease: how sex matters	XML							
ALZ-21-e70036-s001.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11923568/	https://pmc.ncbi.nlm.nih.gov/articles/instance/11923568/bin/ALZ-21-e70036-s001.pdf	No Title	local-data	alz70036-supitem-0001	Supporting Information	Supporting  Information	supplementary material	.//supplementary-material		pdf	Predicting amyloid beta accumulation in cognitively unimpaired older adults: Cognitive assessments provide no additional utility beyond demographic and genetic factors	XML							
ALZ-21-e70036-s002.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11923568/	https://pmc.ncbi.nlm.nih.gov/articles/instance/11923568/bin/ALZ-21-e70036-s002.docx	No Title	local-data	alz70036-supitem-0002	Supporting Information	Supporting  Information	supplementary material	.//supplementary-material		docx	Predicting amyloid beta accumulation in cognitively unimpaired older adults: Cognitive assessments provide no additional utility beyond demographic and genetic factors	XML							
Data_Sheet_1.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11873101/	https://pmc.ncbi.nlm.nih.gov/articles/instance/11873101/bin/Data_Sheet_1.pdf	No Title	local-data	SM1	No description		supplementary material	.//supplementary-material		pdf	Contrastive self-supervised learning for neurodegenerative disorder classification	XML							
sj-docx-1-alz-10.1177_13872877241313063.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12231768/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12231768/bin/sj-docx-1-alz-10.1177_13872877241313063.docx	sj-docx-1-alz-10.1177_13872877241313063 - Supplemental material for Digital detector PET/CT increases Centiloid measures of amyloid in Alzheimer's disease: A head-to-head comparison of cameras	local-data	suppl1-13872877241313063	No description	sj-docx-1-alz-10.1177_13872877241313063  -  Supplemental  material  for  Digital  detector  PET/CT  increases  Centiloid  measures  of  amyloid  in  Alzheimer's  disease:  A  head-to-head  comparison  of  cameras  Supplemental  material,  sj-docx-1-alz-10.1177_13872877241313063  for  Digital  detector  PET/CT  increases  Centiloid  measures  of  amyloid  in  Alzheimer's  disease:  A  head-to-head  comparison  of  cameras  by  Ashley  Gillman,  Pierrick  Bourgeat,  Timothy  Cox,  Victor  L  Villemagne,  Jurgen  Fripp,  Kun  Huang,  Rob  Williams,  Rosita  Shishegar,  Graeme  O’Keefe,  Shenpeng  Li,  Natasha  Krishnadas,  Azadeh  Feizpour,  Svetlana  Bozinovski,  Christopher  C  Rowe  and  Vincent  Doré  in  Journal  of  Alzheimer's  Disease	supplementary material	.//supplementary-material		docx	Digital detector PET/CT increases Centiloid measures of amyloid in Alzheimer's disease: A head-to-head comparison of cameras	XML							
41398_2025_3247_MOESM1_ESM.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11751436/	https://pmc.ncbi.nlm.nih.gov/articles/instance/11751436/bin/41398_2025_3247_MOESM1_ESM.docx	No Title	local-data	MOESM1	Supplementary Table 1	Supplementary  Table  1	supplementary material	.//supplementary-material	For all algorithms, a fine-tuning grid method was used where we estimated all possible combinations of parameters within the predetermined ranges (see Supplementary Table 1 [this file] for hyperparameters).	docx	Developing multifactorial dementia prediction models using clinical variables from cohorts in the US and Australia	XML							
jamanetwopen-e2453756-s001.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12543407/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12543407/bin/jamanetwopen-e2453756-s001.pdf	No Title	local-data	note-ZOI241505-1-s	eMethods 1.  Technical Methodology for the Florey Dementia Index (FDI)	Supplement  1.  eMethods  1.  Technical  Methodology  for  the  Florey  Dementia  Index  (FDI)  eMethods  2.  FDI-MMSE  Model  Development  and  Evaluation  eMethods  3.  FDI-APOE,  Accounting  for  APOE4  Status  in  the  FDI  Model  eMethods  4.  FDI-Sex,  Accounting  for  Sex  in  the  FDI  Model  eFigure  1.  Flowchart  for  FDI  Model  Construction  and  Evaluation  eFigure  2.  Examples  of  Aligning  Individual  CDR-SB  Trajectories  to  the  Mean  CDR-SB  Trajectory  eFigure  3.  Histogram  for  the  Number  of  CDR-SB  Measurements  Available  for  AIBL  and  ADNI  Participants  eFigure  4.  The  CDR-SB  Trajectory  eFigure  5.  The  MMSE  Trajectory  eFigure  6.  Kaplan-Meier  Estimates  of  MCI-Free  Survival  Curve  and  Dementia-Free  Survival  Curve  eFigure  7.  Scatter  Plot  for  MCI/AD  Onset  Prediction  for  ADNI  Participants  eFigure  8.  MCI-Free  and  Dementia-Free  Survival  Curve  for  APOE4  Carriers  and  Non-Carriers  in  AIBL  eFigure  9.  MCI-Free  and  Dementia-Free  Survival  Curves  for  Male  and  Female  AIBL  Participants  eReferences.	supplementary material	.//supplementary-material	"The ADNI members are listed in Supplement 4 [this file] . The Australian Imaging, Biomarker and Lifestyle (AIBL) study members are listed in Supplement 5 [this file] . 
See Supplement 6 [this file] . 
The development of the FDI model and evaluation process has been graphically summarized in eFigure 1 in Supplement 1 [this file] . 
We provide a lay explanation of the model development; a more technical description can be found in eMethods 1 in Supplement 1 [this file] . An example of aligning individual disease trajectory with mean trajectory is shown in eFigure 2 in Supplement 1 [this file] . 
In addition, we have attempted to improve the FDI model by replacing CDR-SB with the Mini-Mental State Examination (MMSE; eMethods 2 in Supplement 1 [this file] ) or accounting for (OMIM 107741 (http://omim.org/107741) ) ε4 carrier status (eMethods 3 in Supplement 1 [this file] ) and sex (eMethods 4 in Supplement 1 [this file] ). 
The number and distribution of CDR-SB measurements for AIBL and ADNI participants are summarized in eFigure 3 in Supplement 1 [this file] . 
Furthermore, the CDR-SB trajectory for cognitively unimpaired participants remained within the stable section of the curve before an FDI of 80 (eFigure 4A in Supplement 1 [this file] ). For the participants who progressed from no cognitive impairment to having MCI, the upper limit of the FDI extended to 85 (eFigure 4B in Supplement 1 [this file] ). However, for the participants who had no cognitive impairment or had MCI that progressed to AD, the CDR-SB trajectories spanned the entire range of the FDI (70-100) (eFigure 4C in Supplement 1 [this file] ). The calculated participant-specific parameters of each participant are listed in eTable 1 in Supplement 2 [this file] . 
More information about the FDI using the MMSE is available in eMethods 2 and eFigure 5 to 7 in Supplement 1 [this file] . 
When accounting for ε4 status, the performance of FDI was not improved (eFigure 8 in Supplement 1 [this file] ). As illustrated in eFigure 9 in Supplement 1 [this file] , the dementia-free survival curve for female participants was slightly right-shifted compared with male participants, suggesting that females are more likely to develop AD than males. 
The prediction results for all participants and their observed age at onset of MCI or AD are summarized in the eTable 2 in Supplement 3 [this file] ."	pdf	Development and Validation of a Tool to Predict Onset of Mild Cognitive Impairment and Alzheimer Dementia	XML							
jamanetwopen-e2453756-s002.xlsx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12543407/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12543407/bin/jamanetwopen-e2453756-s002.xlsx	No Title	local-data	No ID	eTable 1.  Participant-Specific Parameters	Supplement  2.  eTable  1.  Participant-Specific  Parameters	supplementary material	.//supplementary-material		xlsx	Development and Validation of a Tool to Predict Onset of Mild Cognitive Impairment and Alzheimer Dementia	XML							
jamanetwopen-e2453756-s003.xlsx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12543407/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12543407/bin/jamanetwopen-e2453756-s003.xlsx	No Title	local-data	No ID	eTable 2.  Simulated Trial Results	Supplement  3.  eTable  2.  Simulated  Trial  Results	supplementary material	.//supplementary-material		xlsx	Development and Validation of a Tool to Predict Onset of Mild Cognitive Impairment and Alzheimer Dementia	XML							
