funder_name	funding_context_from_paper	recipient	grant_number	source_url	following	V	PI	grants	Union.	ID
National Institute on Aging (NIA)	Funder: http://dx.doi.org/10.13039/100000049 National Institute on Aging | Award ID: R01AG082093; R01AG062547; U19AG073172; P30AG10161; P30AG72975; R01AG15819; R01AG17917; U01AG46152; U01AG61356; R01AG048080; R01AG014713; RF1AG062377; RF1AG054321; R01AG054012; R01AG081017; R01AG062335; R01AG074003; U01NS110453; R01AG058002 | Recipient: Kim Doo Yeon Tsai Li-Huei Kellis Manolis Hide Winston	Kim Doo Yeon Tsai Li-Huei Kellis Manolis Hide Winston	R01AG074003	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12487324/						
National Institute on Aging (NIA)	Funder: http://dx.doi.org/10.13039/100000049 National Institute on Aging | Award ID: R01AG082093; R01AG062547; U19AG073172; P30AG10161; P30AG72975; R01AG15819; R01AG17917; U01AG46152; U01AG61356; R01AG048080; R01AG014713; RF1AG062377; RF1AG054321; R01AG054012; R01AG081017; R01AG062335; R01AG074003; U01NS110453; R01AG058002 | Recipient: Kim Doo Yeon Tsai Li-Huei Kellis Manolis Hide Winston	Kim Doo Yeon Tsai Li-Huei Kellis Manolis Hide Winston	U01NS110453	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12487324/						
National Institute on Aging (NIA)	Funder: http://dx.doi.org/10.13039/100000049 National Institute on Aging | Award ID: R01AG082093; R01AG062547; U19AG073172; P30AG10161; P30AG72975; R01AG15819; R01AG17917; U01AG46152; U01AG61356; R01AG048080; R01AG014713; RF1AG062377; RF1AG054321; R01AG054012; R01AG081017; R01AG062335; R01AG074003; U01NS110453; R01AG058002 | Recipient: Kim Doo Yeon Tsai Li-Huei Kellis Manolis Hide Winston	Kim Doo Yeon Tsai Li-Huei Kellis Manolis Hide Winston	R01AG058002	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12487324/						
Alzheimer's Association	Funder: http://dx.doi.org/10.13039/100000957 Alzheimer's Association | Award ID: AARF-23-1148927 | Recipient: Castanho Isabel	Castanho Isabel	AARF-23-1148927	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12487324/						
Fonds de Recherche du Québec - Santé	The QPN is funded by a grant from (FRQS).	Quebec Parkinson Network		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11253223/						
Fonds de Recherche du Québec - Santé	PREVENT-AD was launched in 2011 as a $13.5 million, 7-year public-private partnership using funds provided by Fonds de Recherche du Québec - Santé	PREVENT-AD		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11253223/						
McGill University	PREVENT-AD was launched in 2011 as a $13.5 million, 7-year public-private partnership using funds provided by McGill University, an unrestricted research grant	PREVENT-AD		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11253223/						
Pfizer Canada Levesque Foundation	PREVENT-AD was launched in 2011 as a $13.5 million, 7-year public-private partnership using funds provided by the Pfizer Canada Levesque Foundation	PREVENT-AD		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11253223/						
Douglas Hospital Research Centre and Foundation	PREVENT-AD was launched in 2011 as a $13.5 million, 7-year public-private partnership using funds provided by the Douglas Hospital Research Centre and Foundation	PREVENT-AD		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11253223/						
Government of Canada	PREVENT-AD was launched in 2011 as a $13.5 million, 7-year public-private partnership using funds provided by the Government of Canada Canada Fund for Innovation	PREVENT-AD		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11253223/						
National Institutes of Health (NIH)	The Brainstorm project is supported by funding to SB from the NIH (R01-EB026299-05).	SB	R01-EB026299-05	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11253223/						
Natural Sciences and Engineering Research Council of Canada	Further funding to SB for this study included Discovery grant from the Natural Sciences and Engineering Research Council of Canada (436355-13)	SB	436355-13	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11253223/						
Canadian Institutes of Health Research	Further funding to SB for this study included the CIHR Canada research Chair in Neural Dynamics of Brain Systems (CRC-2017-00311).	SB	CRC-2017-00311	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11253223/						
National Institutes of Health (NIH)	This work was also supported by a grant F32-NS119375 (AIW) from the National Institutes of Health	AIW	F32-NS119375	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11253223/						
National Institutes of Health (NIH)	This work was also supported by a doctoral fellowship from National Institutes of Health (JDSC, JYH).	JDSC, JYH		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11253223/						
National Institute on Aging (NIA)	The study was supported in part by National Institute on Aging grants U19 AG024904 (S. Prieto) and U01 AG079850 (E.D. Huey).	S. Prieto	U19AG024904	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13078109/						
National Institute on Aging (NIA)	The study was supported in part by National Institute on Aging grants U19 AG024904 (S. Prieto) and U01 AG079850 (E.D. Huey).	E.D. Huey	U01AG079850	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13078109/						
National Institute on Aging (NIA)	The NACC database is funded by NIA/NIH Grant U24 AG072122.	National Alzheimer's Coordinating Center	U24AG072122	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13078109/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA-funded ADRCs: P30 AG062429 (PI James Brewer, MD, PhD), P30 AG066468 (PI Oscar Lopez, MD), P30 AG062421 (PI Bradley Hyman, MD, PhD), P30 AG066509 (PI Thomas Grabowski, MD), P30 AG066514 (PI Mary Sano, PhD), P30 AG066530 (PI Helena Chui, MD), P30 AG066507 (PI Marilyn Albert, PhD), P30 AG066444 (PI David Holtzman, MD), P30 AG066518 (PI Lisa Silbert, MD, MCR), P30 AG066512 (PI Thomas Wisniewski, MD), P30 AG066462 (PI Scott Small, MD), P30 AG072979 (PI David Wolk, MD), P30 AG072972 (PI Charles DeCarli, MD), P30 AG072976 (PI Andrew Saykin, PsyD), P30 AG072975 (PI Julie A. Schneider, MD, MS), P30 AG072978 (PI Ann McKee, MD), P30 AG072977 (PI Robert Vassar, PhD), P30 AG066519 (PI Frank LaFerla, PhD), P30 AG062677 (PI Ronald Petersen, MD, PhD), P30 AG079280 (PI Jessica Langbaum, PhD), P30 AG062422 (PI Gil Rabinovici, MD), P30 AG066511 (PI Allan Levey, MD, PhD), P30 AG072946 (PI Linda Van Eldik, PhD), P30 AG062715 (PI Sanjay Asthana, MD, FRCP), P30 AG072973 (PI Russell Swerdlow, MD), P30 AG066506 (PI Glenn Smith, PhD, ABPP), P30 AG066508 (PI Stephen Strittmatter, MD, PhD), P30 AG066515 (PI Victor Henderson, MD, MS), P30 AG072947 (PI Suzanne Craft, PhD), P30 AG072931 (PI Henry Paulson, MD, PhD), P30 AG066546 (PI Sudha Seshadri, MD), P30 AG086401 (PI Erik Roberson, MD, PhD), P30 AG086404 (PI Gary Rosenberg, MD), P20 AG068082 (PI Angela Jefferson, PhD), P30 AG072958 (PI Heather Whitson, MD), P30 AG072959 (PI James Leverenz, MD).	James Brewer, MD, PhD	P30AG062429	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13078109/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA-funded ADRCs: P30 AG062429 (PI James Brewer, MD, PhD), P30 AG066468 (PI Oscar Lopez, MD), P30 AG062421 (PI Bradley Hyman, MD, PhD), P30 AG066509 (PI Thomas Grabowski, MD), P30 AG066514 (PI Mary Sano, PhD), P30 AG066530 (PI Helena Chui, MD), P30 AG066507 (PI Marilyn Albert, PhD), P30 AG066444 (PI David Holtzman, MD), P30 AG066518 (PI Lisa Silbert, MD, MCR), P30 AG066512 (PI Thomas Wisniewski, MD), P30 AG066462 (PI Scott Small, MD), P30 AG072979 (PI David Wolk, MD), P30 AG072972 (PI Charles DeCarli, MD), P30 AG072976 (PI Andrew Saykin, PsyD), P30 AG072975 (PI Julie A. Schneider, MD, MS), P30 AG072978 (PI Ann McKee, MD), P30 AG072977 (PI Robert Vassar, PhD), P30 AG066519 (PI Frank LaFerla, PhD), P30 AG062677 (PI Ronald Petersen, MD, PhD), P30 AG079280 (PI Jessica Langbaum, PhD), P30 AG062422 (PI Gil Rabinovici, MD), P30 AG066511 (PI Allan Levey, MD, PhD), P30 AG072946 (PI Linda Van Eldik, PhD), P30 AG062715 (PI Sanjay Asthana, MD, FRCP), P30 AG072973 (PI Russell Swerdlow, MD), P30 AG066506 (PI Glenn Smith, PhD, ABPP), P30 AG066508 (PI Stephen Strittmatter, MD, PhD), P30 AG066515 (PI Victor Henderson, MD, MS), P30 AG072947 (PI Suzanne Craft, PhD), P30 AG072931 (PI Henry Paulson, MD, PhD), P30 AG066546 (PI Sudha Seshadri, MD), P30 AG086401 (PI Erik Roberson, MD, PhD), P30 AG086404 (PI Gary Rosenberg, MD), P20 AG068082 (PI Angela Jefferson, PhD), P30 AG072958 (PI Heather Whitson, MD), P30 AG072959 (PI James Leverenz, MD).	Oscar Lopez, MD	P30AG066468	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13078109/						
National Institute on Aging (NIA)	NACC data are contributed by the NIA-funded ADRCs: P30 AG062429 (PI James Brewer, MD, PhD), P30 AG066468 (PI Oscar Lopez, MD), P30 AG062421 (PI Bradley Hyman, MD, PhD), P30 AG066509 (PI Thomas Grabowski, MD), P30 AG066514 (PI Mary Sano, PhD), P30 AG066530 (PI Helena Chui, MD), P30 AG066507 (PI Marilyn Albert, PhD), P30 AG066444 (PI David Holtzman, MD), P30 AG066518 (PI Lisa Silbert, MD, MCR), P30 AG066512 (PI Thomas Wisniewski, MD), P30 AG066462 (PI Scott Small, MD), P30 AG072979 (PI David Wolk, MD), P30 AG072972 (PI Charles DeCarli, MD), P30 AG072976 (PI Andrew Saykin, PsyD), P30 AG072975 (PI Julie A. Schneider, MD, MS), P30 AG072978 (PI Ann McKee, MD), P30 AG072977 (PI Robert Vassar, PhD), P30 AG066519 (PI		P30AG062421	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13078109/						
National Institutes of Health (NIH)	This work was supported by the National Institutes of Health (NIH) grant R01AG061786.		R01AG061786	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10592406/						
National Institutes of Health (NIH)	Y.C. and J.A.S. were supported by R01AG061786 and U01AG057545.	Y.C. and J.A.S.	R01AG061786	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10592406/						
National Institutes of Health (NIH)	Y.C. and J.A.S. were supported by R01AG061786 and U01AG057545.	Y.C. and J.A.S.	U01AG057545	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10592406/						
National Institutes of Health (NIH)	A.G. was supported by the NIH K01AG050699.	A.G.	K01AG050699	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10592406/						
National Institute on Aging (NIA)	This study was also supported in part by the Intramural Research Program, National Institute on Aging, NIH.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10592406/						
National Institute on Aging (NIA)	N.M.A., M.K-T., L.F., E.M.S., S.M.R. were all supported by the Intramural Research Program of the National Institute on Aging, NIH.	N.M.A., M.K-T., L.F., E.M.S., S.M.R.		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10592406/						
European Research Council	The work of the Swedish BioFINDER group is supported by European Research Council (ADG-101096455)	Swedish BioFINDER group	ADG-101096455	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Alzheimer's Association	The work of the Swedish BioFINDER group is supported by European Research Council (ADG-101096455), Alzheimer's Association (ZEN24-1069572, SG-23-1061717)	Swedish BioFINDER group	ZEN24-1069572	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Alzheimer's Association	The work of the Swedish BioFINDER group is supported by European Research Council (ADG-101096455), Alzheimer's Association (ZEN24-1069572, SG-23-1061717)	Swedish BioFINDER group	SG-23-1061717	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
GHR Foundation	The work of the Swedish BioFINDER group is supported by European Research Council (ADG-101096455), Alzheimer's Association (ZEN24-1069572, SG-23-1061717), GHR Foundation	Swedish BioFINDER group		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Swedish Research Council	Swedish Research Council (2018-02052, 2021-02219, 2022-00775)	Swedish BioFINDER group	2018-02052	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Swedish Research Council	Swedish Research Council (2018-02052, 2021-02219, 2022-00775)	Swedish BioFINDER group	2021-02219	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Swedish Research Council	Swedish Research Council (2018-02052, 2021-02219, 2022-00775)	Swedish BioFINDER group	2022-00775	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
ERA PerMed	ERA PerMed (ERAPERMED2021-184)	Swedish BioFINDER group	ERAPERMED2021-184	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Knut and Alice Wallenberg Foundation	Knut and Alice Wallenberg foundation (2022-0231)	Swedish BioFINDER group	2022-0231	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Strategic Research Area MultiPark	Strategic Research Area MultiPark (Multidisciplinary Research in Parkinson's disease) at Lund University	Lund University		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Swedish Alzheimer Foundation	Swedish Alzheimer Foundation (AF-980907, AF-994229, AF-1011799)	Swedish BioFINDER group	AF-980907	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Swedish Alzheimer Foundation	Swedish Alzheimer Foundation (AF-980907, AF-994229, AF-1011799)	Swedish BioFINDER group	AF-994229	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Swedish Alzheimer Foundation	Swedish Alzheimer Foundation (AF-980907, AF-994229, AF-1011799)	Swedish BioFINDER group	AF-1011799	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Swedish Brain Foundation	Swedish Brain Foundation (FO2021-0293, FO2023-0163)	Swedish BioFINDER group	FO2021-0293	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Swedish Brain Foundation	Swedish Brain Foundation (FO2021-0293, FO2023-0163)	Swedish BioFINDER group	FO2023-0163	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Lilly Research Award Program	Lilly Research Award Program			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Michael J. Fox Foundation for Parkinson's Research	Michael J Fox Foundation (MJFF-025507)	Swedish BioFINDER group	MJFF-025507	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Parkinson Foundation of Sweden	Parkinson foundation of Sweden (1412/22)	Swedish BioFINDER group	1412/22	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Cure Alzheimer's Fund	Cure Alzheimer's fund	Swedish BioFINDER group		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Rönström Family Foundation	Rönström Family Foundation	Swedish BioFINDER group		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Kockska Foundations	Kockska Foundations	Swedish BioFINDER group		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Berg Family Foundation	Berg Family Foundation	Swedish BioFINDER group		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Greta and Johan Kock Foundation	Greta and Johan Kock Foundation	Swedish BioFINDER group		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Konung Gustaf V:s och Drottning Victorias Frimurarestiftelse	Konung Gustaf V:s och Drottning Victorias Frimurarestiftelse	Swedish BioFINDER group		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Skåne University Hospital Foundation	Skåne University Hospital Foundation (2020-O000028)	Swedish BioFINDER group	2020-O000028	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Regionalt Forskningsstöd	Regionalt Forskningsstöd (2022-1259)	Swedish BioFINDER group	2022-1259	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
WASP and DDLS Joint call for research projects	WASP and DDLS Joint call for research projects (WASP/DDLS22-066)	Swedish BioFINDER group	WASP/DDLS22-066	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Swedish federal government under the ALF agreement	Swedish federal government under the ALF agreement (2022-Projekt0080, 2022-Projekt0107)	Swedish BioFINDER group	2022-Projekt0080	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
Swedish federal government under the ALF agreement	Swedish federal government under the ALF agreement (2022-Projekt0080, 2022-Projekt0107)	Swedish BioFINDER group	2022-Projekt0107	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
National Institute on Aging (NIA)	Data collection and sharing for the ADNI is funded by the National Institute on Aging (National Institutes of Health Grant U19AG024904). The grantee organisation is the Northern California Institute for Research and Education.	Northern California Institute for Research and Education	U19AG024904	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
National Institute of Biomedical Imaging and Bioengineering (NIBIB)	In the past, ADNI has also			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/						
University of Jeddah	This work was funded by the University of Jeddah, Jeddah, Saudi Arabia, under Grant No: (UJ-23-RSP-6).		UJ-23-RSP-6	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12927158/						
National Institutes of Health (NIH)	This work was supported by National Institutes of Health: P30AG10161; P30AG72975, R01AG17917; R01AG015819, R01AG22018, the Paul M Angell Foundation, the Illinois Department of Public Health; and the Robert C. Borwell Endowment Fund.		P30AG10161	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13255081/						
National Institutes of Health (NIH)	This work was supported by National Institutes of Health: P30AG10161; P30AG72975, R01AG17917; R01AG015819, R01AG22018, the Paul M Angell Foundation, the Illinois Department of Public Health; and the Robert C. Borwell Endowment Fund.		P30AG72975	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13255081/						
National Institutes of Health (NIH)	This work was supported by National Institutes of Health: P30AG10161; P30AG72975, R01AG17917; R01AG015819, R01AG22018, the Paul M Angell Foundation, the Illinois Department of Public Health; and the Robert C. Borwell Endowment Fund.		R01AG17917	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13255081/						
National Institutes of Health (NIH)	This work was supported by National Institutes of Health: P30AG10161; P30AG72975, R01AG17917; R01AG015819, R01AG22018, the Paul M Angell Foundation, the Illinois Department of Public Health; and the Robert C. Borwell Endowment Fund.		R01AG015819	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13255081/						
National Institutes of Health (NIH)	This work was supported by National Institutes of Health: P30AG10161; P30AG72975, R01AG17917; R01AG015819, R01AG22018, the Paul M Angell Foundation, the Illinois Department of Public Health; and the Robert C. Borwell Endowment Fund.		R01AG22018	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13255081/						
Paul M Angell Foundation	This work was supported by National Institutes of Health: P30AG10161; P30AG72975, R01AG17917; R01AG015819, R01AG22018, the Paul M Angell Foundation, the Illinois Department of Public Health; and the Robert C. Borwell Endowment Fund.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13255081/						
Illinois Department of Public Health	This work was supported by National Institutes of Health: P30AG10161; P30AG72975, R01AG17917; R01AG015819, R01AG22018, the Paul M Angell Foundation, the Illinois Department of Public Health; and the Robert C. Borwell Endowment Fund.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13255081/						
Robert C. Borwell Endowment Fund	This work was supported by National Institutes of Health: P30AG10161; P30AG72975, R01AG17917; R01AG015819, R01AG22018, the Paul M Angell Foundation, the Illinois Department of Public Health; and the Robert C. Borwell Endowment Fund.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13255081/						
Michael Urbut	We would also like to thank Michael Urbut for his generous financial support given towards this work.			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13255081/						
U.S. Department of Veterans Affairs	Funder: http://dx.doi.org/10.13039/100000738 U.S. Department of Veterans Affairs | Award ID: I01BX005749 | Recipient: n/a		I01BX005749	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12288278/						
National Institutes of Health (NIH)	Funder: http://dx.doi.org/10.13039/100000002 National Institutes of Health | Award ID: U01 - AG032984 | Recipient: n/a		U01AG032984	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12288278/						
National Institute on Aging (NIA)	This research was supported in part by the Intramural Research Program of the NIH, National Institute on Aging (NIA), National Institutes of Health, Department of Health and Human Services; project number ZO1 AG000535 / ZIA AG000534 and ZIA AG000949, as well as the National Institute of Neurological Disorders and Stroke (NINDS) and the National Human Genome Research Institute (NHGRI).		ZO1 AG000535	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11499029/						
National Institute on Aging (NIA)	This research was supported in part by the Intramural Research Program of the NIH, National Institute on Aging (NIA), National Institutes of Health, Department of Health and Human Services; project number ZO1 AG000535 / ZIA AG000534 and ZIA AG000949, as well as the National Institute of Neurological Disorders and Stroke (NINDS) and the National Human Genome Research Institute (NHGRI).		ZIA AG000534	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11499029/						
National Institute on Aging (NIA)	This research was supported in part by the Intramural Research Program of the NIH, National Institute on Aging (NIA), National Institutes of Health, Department of Health and Human Services; project number ZO1 AG000535 / ZIA AG000534 and ZIA AG000949, as well as the National Institute of Neurological Disorders and Stroke (NINDS) and the National Human Genome Research Institute (NHGRI).		ZIA AG000949	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11499029/						
National Institute of Neurological Disorders and Stroke (NINDS)	This research was supported in part by the Intramural Research Program of the NIH, National Institute on Aging (NIA), National Institutes of Health, Department of Health and Human Services; project number ZO1 AG000535 / ZIA AG000534 and ZIA AG000949, as well as the National Institute of Neurological Disorders and Stroke (NINDS) and the National Human Genome Research Institute (NHGRI).			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11499029/						
National Human Genome Research Institute (NHGRI)	This research was supported in part by the Intramural Research Program of the NIH, National Institute on Aging (NIA), National Institutes of Health, Department of Health and Human Services; project number ZO1 AG000535 / ZIA AG000534 and ZIA AG000949, as well as the National Institute of Neurological Disorders and Stroke (NINDS) and the National Human Genome Research Institute (NHGRI).			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11499029/						
Michael J. Fox Foundation for Parkinson's Research	Additional funding was provided by The Michael J. Fox Foundation for Parkinson's Research through grant MJFF-009421/17483.		MJFF-009421/17483	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11499029/						
National Institutes of Health (NIH)	The All of Us Research Program is supported by the National Institutes of Health, Office of the Director: Regional Medical Centers: 1 OT2 OD026549; 1 OT2 OD026554; 1 OT2 OD026557; 1 OT2 OD026556; 1 OT2 OD026550; 1 OT2 OD 026552; 1 OT2 OD026553; 1 OT2 OD026548; 1 OT2 OD026551; 1 OT2 OD026555; IAA #: AOD 16037; Federally Qualified Health Centers: HHSN 263201600085U; Data and Research Center: 5 U2C OD023196; Biobank: 1 U24 OD023121; The Participant Center: U24 OD023176; Participant Technology Systems Center: 1 U24 OD023163; Communications and Engagement: 3 OT2 OD023205; 3 OT2 OD023206; and Community Partners: 1 OT2 OD025277; 3 OT2 OD025315; 1 OT2 OD025337; 1 OT2 OD025276.		1 OT2 OD026549	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11499029/						
National Institutes of Health (NIH)	The All of Us Research Program is supported by the National Institutes of Health, Office of the Director: Regional Medical Centers: 1 OT2 OD026549; 1 OT2 OD026554; 1 OT2 OD026557; 1 OT2 OD026556; 1 OT2 OD026550; 1 OT2 OD 026552; 1 OT2 OD026553; 1 OT2 OD026548; 1 OT2 OD026551; 1 OT2 OD026555; IAA #: AOD 16037; Federally Qualified Health Centers: HHSN 263201600085U; Data and Research Center: 5 U2C OD023196; Biobank: 1 U24 OD023121; The Participant Center: U24 OD023176; Participant Technology Systems Center: 1 U24 OD023163; Communications and Engagement: 3 OT2 OD023205; 3 OT2 OD023206; and Community Partners: 1 OT2 OD025277; 3 OT2 OD025315; 1 OT2 OD025337; 1 OT2 OD025276.		1 OT2 OD026554	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11499029/						
National Institutes of Health (NIH)	The All of Us Research Program is supported by the National Institutes of Health, Office of the Director: Regional Medical Centers: 1 OT2 OD026549; 1 OT2 OD026554; 1 OT2 OD026557; 1 OT2 OD026556; 1 OT2 OD026550; 1 OT2 OD 026552; 1 OT2 OD026553; 1 OT2 OD026548; 1 OT2 OD026551; 1 OT2 OD026555; IAA #: AOD 16037; Federally Qualified Health Centers: HHSN 263201600085U; Data and Research Center: 5 U2C OD023196; Biobank: 1 U24 OD023121; The Participant Center: U24 OD023176; Participant Technology Systems Center: 1 U24 OD023163; Communications and Engagement: 3 OT2 OD023205; 3 OT2 OD023206; and Community Partners: 1 OT2 OD025277; 3 OT2 OD025315; 1 OT2 OD025337; 1 OT2 OD025276.		1 OT2 OD026557	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11499029/						
National Institutes of Health (NIH)	The All of Us Research Program is supported by the National Institutes of Health, Office of the Director: Regional Medical Centers: 1 OT2 OD026549; 1 OT2 OD026554; 1 OT2 OD026557; 1 OT2 OD026556; 1 OT2 OD026550; 1 OT2 OD 026552; 1 OT2 OD026553; 1 OT2 OD026548; 1 OT2 OD026551; 1 OT2 OD026555; IAA #: AOD 16037; Federally Qualified Health Centers: HHSN 263201600085U; Data and Research Center: 5 U2C OD023196; Biobank: 1 U24 OD023121; The Participant Center: U24 OD023176; Participant Technology Systems Center: 1 U24 OD023163; Communications and Engagement: 3 OT2 OD023205; 3 OT2 OD023206; and Community Partners: 1 OT2 OD025277; 3 OT2 OD025315; 1 OT2 OD025337; 1 OT2 OD025276.		1 OT2 OD026556	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11499029/						
National Institutes of Health (NIH)	The All of Us Research Program is supported by the National Institutes of Health, Office of the Director: Regional Medical Centers: 1 OT2 OD026549; 1 OT2 OD026554; 1 OT2 OD026557; 1 OT2 OD026556; 1 OT2 OD026550; 1 OT2 OD 026552; 1 OT2 OD026553; 1 OT2 OD026548; 1 OT2 OD026551; 1 OT2 OD026555; IAA #: AOD 16037; Federally Qualified Health Centers: HHSN 263201600085U; Data and Research Center: 5 U2C OD023196; Biobank: 1 U24 OD023121; The Participant Center: U24 OD023176; Participant Technology Systems Center: 1 U24 OD023163; Communications and Engagement: 3 OT2 OD023205; 3 OT2 OD023206; and Community Partners: 1 OT2 OD025277; 3 OT2 OD025315; 1 OT2 OD025337; 1 OT2 OD025276.		1 OT2 OD026550	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11499029/						
National Institutes of Health (NIH)	The All of Us Research Program is supported by the National Institutes of Health, Office of the Director: Regional Medical Centers: 1 OT2 OD026549; 1 OT2 OD026554; 1 OT2 OD026557; 1 OT2 OD026556; 1 OT2 OD026550; 1 OT2 OD 026552; 1 OT2 OD026553; 1 OT2 OD026548; 1 OT2 OD026551; 1 OT2 OD026555; IAA #: AOD 16037; Federally Qualified Health Centers: HHSN 263201600085U; Data and Research Center: 5 U2C OD023196; Biobank: 1 U24 OD023121; The Participant Center: U24 OD023176; Participant Technology Systems Center: 1 U24 OD023163; Communications and Engagement: 3 OT2 OD023205; 3 OT2 OD023206; and Community Partners: 1 OT2 OD025277; 3 OT2 OD025315; 1 OT2 OD025337; 1 OT2 OD025276.		1 OT2 OD026552	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11499029/						
