Resource Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages	Content_For_Analysis	Biomedical Relevance	Code Summary	Data Types	Tooling
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/GalvanizeDataScience/Project-PPMI	GalvanizeDataScience	cbracher69			YES - This repository is directly focused on analyzing data from the Parkinson's Progression Markers Initiative (PPMI), a large-scale clinical study of Parkinson's Disease. The project specifically aims to apply machine learning techniques to understand this neurodegenerative disease, evaluate biomarkers for PD diagnostics, and identify patient subgroups.	This project analyzes data from PPMI, a $60 million longitudinal study of approximately 1,000 Parkinson's Disease subjects conducted by the Michael J. Fox Foundation. The code aims to render the complex PPMI dataset in an accessible form and apply machine learning techniques to discover hidden patterns across diverse measurements including clinical, imaging, genetic, and biomarker data. The goal is to provide streamlined ML tools for researchers to advance PD research, evaluate diagnostic biomarkers, and identify distinct patient subgroups.	Clinical data, behavioral measurements, neurological assessments, blood biomarkers, cerebrospinal fluid biomarkers, genetic variants, structural imaging, functional imaging, demographic data (gender, education), olfactory assessments, depression scores, and mental ability assessments.	Not specified in the available repository information (only mentions machine learning and pattern recognition techniques generally, developed in cooperation with Zipfian Academy and Bayes Impact).
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/sayadennis/ppmi	sayadennis	sayadennis	Jupyter Notebook		YES - This repository is directly focused on Parkinson's Disease, a major neurodegenerative disorder. The project involves predictive modeling of disease progression patterns using genomic data, which is clearly biomedically relevant for neurological conditions.	This project develops predictive models to analyze progression patterns of Parkinson's Disease using patients' whole-exome sequencing data. The work aims to identify candidate gene sets that can predict different progression subtypes of the disease and has been published in a peer-reviewed biomedical conference.	Whole-exome sequencing data, genomic data	Not specified in the available repository information.
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/Niharika626/PD_DETECTION	Niharika626	Niharika626	Jupyter Notebook		YES - This repository is directly related to Parkinson's disease detection, which is a major neurodegenerative disorder. The project focuses on developing machine learning models to detect Parkinson's disease using clinical movement data.	This project implements machine learning algorithms (XGBoost and SVM) to detect Parkinson's disease using movement-related data from the PPMI dataset. The code focuses on analyzing gait patterns and arm swing measurements, which are key motor symptoms affected in Parkinson's disease, to build predictive models for disease detection.	Gait data, arm swing measurements, PPMI (Parkinson's Progression Markers Initiative) dataset	XGBoost, SVM (Support Vector Machine), PPMI dataset
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/ffaghri1/ppmi-mjff	ffaghri1	ffaghri1	Jupyter Notebook		YES - This repository is directly focused on Parkinson's disease research, analyzing clinical progression patterns and predicting prognoses using the PPMI (Parkinson's Progression Markers Initiative) dataset. It involves neurological condition analysis, clinical data modeling, and biomarker identification for a major neurodegenerative disease.	This code implements machine learning approaches to classify Parkinson's disease patients into progression subtypes and predict clinical outcomes from baseline measurements. The project uses unsupervised learning to identify three distinct PD progression subtypes (low, mid, high) and supervised learning to predict progression with 80-98% accuracy, while identifying key baseline factors that influence disease progression.	Clinical data, molecular data, imaging data, MoCA (Montreal Cognitive Assessment) scores, UPDRS (Unified Parkinson's Disease Rating Scale) measurements, sleep movement data, and other baseline clinical assessments from the PPMI dataset.	Gaussian Mixture Models, Logistic Regression, Randomized Decision Trees (Extra-Trees), and general machine learning frameworks (specific implementation tools not detailed in the available repository information).
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/TianjieCheng/PPMI	TianjieCheng	TianjieCheng			YES - This repository is directly related to Parkinson's disease research, which is a neurodegenerative disorder. The project analyzes the Parkinson's Progression Markers Initiative (PPMI) dataset, which is a well-known clinical research database for studying Parkinson's disease progression and biomarkers.	This is a research project that analyzes the PPMI dataset to study Parkinson's disease progression markers. The code appears to implement Gaussian Mixture Models (GMM) using distance features and baseline scores as inputs for analysis.	Not specified in the available repository information.	Not specified in the available repository information.
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/brian-j-smith/PPMIChallenge2016	brian-j-smith	brian-j-smith; petersonR	R		YES - This repository is directly related to Parkinson's disease research, which is a major neurodegenerative disorder. The PPMI Data Challenge 2016 focuses on analyzing clinical, biological, and imaging data to develop predictive models for Parkinson's disease progression and identify disease subtypes.	This repository appears to be documentation for the 2016 Parkinson's Progression Markers Initiative (PPMI) Data Challenge rather than containing actual code implementation. It describes a competition where participants were asked to develop quantitative models to predict clinical progression or identify Parkinson's disease subtypes using the comprehensive PPMI dataset.	Clinical data, biological data, and imaging data related to Parkinson's disease (specific modalities not detailed in the available repository information).	Not specified in the available repository information - this appears to be primarily documentation for the challenge rather than implementation code.
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/Andreater/parkinson_cdss	Andreater	Andreater; 217c	R		YES - This repository is directly focused on Parkinson's Disease (PD) progression prediction, which is a major neurodegenerative disease. The research involves clinical data analysis for neurological conditions, specifically using MDS-UPDRS scores (a standard clinical assessment for Parkinson's) and aims to develop a clinical decision support system (CDSS) for predicting disease progression.	This code implements a clinical decision support system for predicting Parkinson's Disease progression using smartwatch data from the Parkinson's Progressive Markers Initiative (PPMI). The system analyzes biometric data collected by Verily smartwatches to predict changes in MDS-UPDRS scores over time, though the results showed only marginal improvement over baseline models with no statistical significance.	Smartwatch biometric data (including REM sleep time, daily usage patterns), MDS-UPDRS clinical scores, demographic data (age, gender), clinical visit records, genetic subgroup classifications (CONGBA, CONLRRK2), and Parkinson's disease staging information (Hoehn and Yahr staging).	Genetic algorithm for automated model selection, generalized linear models (GLMs), AIC/AICC model selection criteria, Bayesian Information Criteria (BIC), STL decomposition for time series analysis, Kaplan-Meier survival analysis, Cox Proportional Hazards Model, Kruskal-Wallis and Wilcoxon rank sum tests for statistical analysis.
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/ahmedfawaz879/Parkinson-s-Voice-and-Clinical-Modeling	ahmedfawaz879	ahmedfawaz879	Jupyter Notebook		YES - This repository is directly focused on Parkinson's disease classification using machine learning. It analyzes clinical data and voice features from the PPMI (Parkinson's Progression Markers Initiative) dataset to distinguish between Parkinson's patients and controls, making it highly relevant to neurodegenerative disease research.	This project implements an end-to-end machine learning workflow for classifying Parkinson's disease using clinical and voice-derived features from the PPMI dataset. The code includes data preprocessing, UPDRS progression modeling, Random Forest classification with SHAP explainability analysis, and robustness testing under simulated noise conditions to evaluate model reliability in real-world clinical scenarios.	Clinical data (UPDRS scores), voice/audio features, PPMI dataset (Parkinson's Progression Markers Initiative)	Python, Random Forest classifier, SHAP (SHapley Additive exPlanations), scikit-learn, matplotlib, pandas, numpy, Gaussian noise perturbation for robustness testing
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/jhaker/PPMI	jhaker	jhaker			YES - This repository is related to the Parkinson's Progression Markers Initiative (PPMI), which directly relates to Parkinson's disease, a neurodegenerative disorder. PPMI is a well-known longitudinal study focused on identifying biomarkers for Parkinson's disease progression.	This repository appears to be a decommissioned project related to the Parkinson's Progression Markers Initiative. The repository contains minimal information and directs users to the official PPMI website for current information about Parkinson's progression markers research.	Not specified in the available repository information.	Not specified in the available repository information.
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/Hari-P-22121/Parkinsons-3D-MRI-Classifier	Hari-P-22121	Hari-P-22121	Python		YES - This repository is directly focused on Parkinson's Disease classification using 3D brain MRI scans. It implements deep learning models for neurological disorder diagnosis and uses medical imaging data from the PPMI dataset, making it highly relevant to biomedical research in neurodegenerative diseases.	This project implements a deep learning classifier that combines 3D CNNs with self-attention mechanisms to diagnose Parkinson's Disease from structural brain MRI scans. The model uses a 3D CNN encoder to extract spatial features from volumetric brain data, followed by Multi-Head Attention layers to capture global patterns for binary classification of PD presence.	3D brain MRI scans (structural neuroimaging data from PPMI dataset), DICOM format medical images converted to NIfTI format	3D CNN (Conv3D), Multi-Head Self-Attention (MHA), BatchNorm, MaxPooling, TensorFlow/Keras (based on .keras model file), DICOM to NIfTI conversion tools, Binary Cross Entropy Loss, F1 Score metrics, dropout regularization
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Polster-lab/m6a_regulators_rosmap	Polster-lab	danish2562022	Jupyter Notebook		YES - This repository is directly focused on Alzheimer's Disease (AD) research, specifically investigating the role of N6-methyladenosine (m6A) RNA modifications in AD pathogenesis. It examines m6A regulators including methyltransferases, demethylases, and binding proteins in the context of neurodegeneration.	Based on the available information, this appears to be a research project analyzing m6A RNA modification regulators in Alzheimer's Disease using ROSMAP data. The project likely involves computational analysis of how specific m6A regulators (METTL3/METTL14, FTO, ALKBH5, and YTH domain proteins) contribute to AD mechanisms through their effects on mRNA stability, splicing, and translation.	Not specified in the available repository information, though the ROSMAP reference suggests this likely involves transcriptomic data from the Religious Orders Study and Memory and Aging Project.	Not specified in the available repository information.
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/kkkiyomi1/ROSC-S	kkkiyomi1	kkkiyomi1	Python		YES - This repository is directly focused on Alzheimer's disease diagnosis using multi-modal data analysis. It implements a machine learning framework specifically designed for neurodegenerative disease classification, which falls squarely within biomedical research applications for neurological conditions.	ROSC-S implements a robust multi-modal learning framework for Alzheimer's disease diagnosis that combines graph-regularized learning with Schatten-p norm regularization. The system performs multi-modal data fusion using adaptive Laplacian learning and low-rank tensor graph construction to improve diagnostic accuracy. It provides a modular implementation for research purposes with components for optimization, preprocessing, evaluation, and feature disentanglement.	Not specified in the available repository information.	Based on the repository structure, the main tooling includes Python modules for optimization, data preprocessing, evaluation, and metrics calculation. The specific packages and frameworks are not clearly listed in the available content, though the modular structure suggests standard machine learning and scientific computing libraries are likely used.
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/alexeykolodkin/ROS_model	alexeykolodkin	alexeykolodkin			YES - This repository is biomedically relevant as it focuses on simulating oxidative stress in Parkinson's disease, which is a major neurodegenerative disorder. The modeling of oxidative stress mechanisms is directly related to understanding the pathophysiology of Parkinson's disease.	This repository contains a computational model that simulates oxidative stress processes in the context of Parkinson's disease. The model likely aims to understand how reactive oxygen species (ROS) contribute to neuronal damage and disease progression in Parkinson's disease.	Not specified in the available repository information.	Not specified in the available repository information.
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/LordJpz18/roselyne-pipernos	LordJpz18	LordJpz18	HTML		NO - Based on the available repository information, this appears to be a general web application project using Flask framework. There is no indication of biomedical research, neuroscience applications, or healthcare-related functionality.	This repository contains a Flask web application with CORS (Cross-Origin Resource Sharing) support. The minimal requirements suggest it's a basic web service or API, but the specific functionality cannot be determined from the available information.	Not specified in the available repository information.	Flask (web framework), Flask-CORS (cross-origin resource sharing), Werkzeug (WSGI utility library)
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/OpenAgricultureFoundation/openag_brain	OpenAgricultureFoundation	gordonbrander; LeonChambers; sp4ghet; rbaynes; goruck; spaghet; yaromins; yeliztaneroglu; davoclavo; novemberalpha	Python		NO. This repository is related to OpenAg (Open Agriculture) food computers for agricultural applications, not biomedical research. It's software for controlling agricultural growing systems, which is unrelated to neurodegenerative diseases, brain imaging, or medical/clinical applications.	This is deprecated software that runs on the main computing board (typically Raspberry Pi) of an OpenAg food computer system. The code is built on top of ROS (Robot Operating System) and uses CouchDB for data storage to control agricultural growing environments.	Not specified in the available repository information.	ROS (Robot Operating System), CouchDB, Raspberry Pi (hardware platform)
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/matrix97317/UniRobot	matrix97317	matrix97317	Python		NO. This repository is focused on general robotics and embodied AI systems, not biomedical applications. It appears to be a software framework for robot control, perception, and model training without any specific connection to neurodegenerative diseases, brain imaging, or medical/clinical applications.	"UniRobot is an embodied intelligence software framework that integrates robot ""brain"" components (data, models, training) with robot body components (perception, inference, control). The framework provides distributed training capabilities for embodied models, high-performance inference services, robot software abstraction layers, and a complete data collection-training-inference pipeline for robotics applications."	Not specified in the available repository information.	- Megatron-LM (from NVIDIA) - Python (inferred from scaffold reference) - serious-scaffold-python (project scaffolding tool)
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/UTAH-VEXU-Robotics/ros_lib	UTAH-VEXU-Robotics	acetousk	C++		NO - This repository is for robotics development, specifically for VEX V5 educational robots using ROS (Robot Operating System). It is focused on general robotics applications and competition robots, not biomedical research or neurological applications.	This package provides rosserial functionality for VEX V5 Robot Brain using PROS 3.x.x tooling, enabling communication between VEX robots and ROS systems. It includes examples for basic messaging, sensor data collection, and odometry tracking to demonstrate how ROS can standardize message passing between the robot brain and external computers.	Sensor data, odometry data (position/movement tracking data from robot sensors)	ROS (Robot Operating System), PROS tooling, rosserial, catkin_make, VEX V5 Robot Brain firmware, Linux/Ubuntu, microUSB communication protocol, roslaunch, C++
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/BrainCoTech/brainco_hand_ros2	BrainCoTech	dtg-andy	C++		YES - This repository is biomedically relevant as it provides ROS2 software for controlling the BrainCo Revo2 dexterous prosthetic hand, which is a neurologically-controlled assistive device for individuals with limb differences or amputations. The BrainCo system uses brain-computer interface technology to control prosthetic devices, making this directly applicable to neurological rehabilitation and assistive healthcare technology.	This is a comprehensive ROS2 software package that provides complete control, simulation, and motion planning capabilities for the BrainCo Revo2 dexterous prosthetic hand. The code includes hardware drivers supporting multiple communication protocols (Modbus, CAN FD, EtherCAT), Gazebo physics simulation, MoveIt motion planning integration, and support for both single and dual-hand configurations. It also includes integration demos with robotic arms for advanced manipulation tasks.	Not specified in the available repository information.	ROS2 Humble, Ubuntu 22.04, Python 3.8+, ros2_control, Gazebo/Ignition Gazebo 6, MoveIt 2, URDF, RViz, Modbus communication, CAN FD protocol, EtherCAT protocol, ZLG USB-CAN FD drivers, IgH EtherCAT Master, colcon build system, vcs (version control system tool), rosdep.
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/gaitech-robotics/gaitech-bci	gaitech-robotics	gaitechdev	Python		YES - This repository is biomedically relevant as it focuses on Brain Computer Interfacing (BCI) research using EEG signals for neurological applications. It involves brain signal acquisition, analysis, and real-time processing for controlling robotic systems, which has direct applications in neuroscience research and potentially assistive technologies for neurological conditions.	Gaitech-BCI is a comprehensive hardware and software platform that enables Brain Computer Interface research by integrating EEG signal acquisition with ROS-enabled robots. The platform includes support for a 10-channel wireless EEG device with dry electrodes and provides ROS packages and GUIs for configuring EEG devices, creating labeled datasets, and controlling robots using real-time brain signals.	EEG (electroencephalography) signals from 10-channel wireless EEG device, labeled EEG datasets	ROS (Robot Operating System), Avertus H10C EEG headset, python-avertuseegheadset, pyqtgraph, python-qt4, numpy, scipy, gstreamer-1.0, catkin build system
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Mufrad6502/SSVEP-BASED-BCI-SYSTEM	Mufrad6502	Mufrad6502	Lua		YES - This repository is biomedically relevant as it implements a brain-computer interface (BCI) system using SSVEP (Steady-State Visual Evoked Potentials) for controlling robotic arms through EEG brain signals. The system involves neuroimaging data acquisition, processing of brain signals, and classification of neural responses, which are core components of neuroscience and biomedical engineering applications.	This code implements a complete BCI system that uses SSVEP brain signals captured via EEG to control robotic arms (UR5 and Franka Emika Panda). The system integrates OpenVibe for EEG signal processing and classification with ROS (Robot Operating System) for robot control, allowing users to control robots through visual attention to different frequency stimuli.	EEG signals, SSVEP (Steady-State Visual Evoked Potentials) neuroimaging data, visual stimulus response data at frequencies 20, 15, 12, 10 Hz	OpenVibe, ROS (Robot Operating System), OpenBCI Cyton/Ultracortex EEG headset, CSP (Common Spatial Patterns) spatial filters, TCP socket communication, MoveIt motion planning framework, Ubuntu 16.04, catkin build system, UR5 robot drivers, Franka Emika Panda drivers, Kinova KG-3 gripper, Kinova K-Series SDK
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/ECC-BFMC/Brain_ROS	ECC-BFMC	BFMC-Rares-Lemnariu	C++		"NO. This repository is for the BFMC (Bosch Future Mobility Challenge) Brain ROS Project, which appears to be related to autonomous vehicle/robotics development using ROS (Robot Operating System) on Raspberry Pi. Despite having ""Brain"" in the name, it is not related to biomedical research, neuroscience, or brain analysis - it's a robotics/automotive project."	This repository provides installation instructions and setup scripts for deploying ROS (Robot Operating System) on a Raspberry Pi for what appears to be an autonomous vehicle or robotics competition project. The code includes pre-configured packages for communication between the Raspberry Pi and a computer system, along with sensor integration including camera and IMU components.	Camera/video data, IMU (Inertial Measurement Unit) sensor data	ROS Noetic, Raspberry Pi OS (Debian Buster), OpenCV, Python3, catkin build system, picamera, RTIMULib, i2c communication protocols, SSH, git
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/UGA-AgRobotics/red-rover	UGA-AgRobotics		C++		"NO - Based on the available repository information, this appears to be a general software project called ""red-rover"" with minimal documentation. The brief description ""This is the brain for red rover"" uses ""brain"" metaphorically to refer to the core logic/control system of what is likely a robotics or general software project, not actual biomedical brain research."	"The repository appears to be the core control system or ""brain"" for a project called ""red-rover."" With only a basic README and build status badge visible, the specific functionality and purpose cannot be determined from the available information."	Not specified in the available repository information.	Travis CI (for continuous integration/build status)
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/elizabethkoh/BrainROS	elizabethkoh	elizabethkoh	C++		"NO. This repository is for BrainROS, which appears to be a robotics project using the VEX robotics platform and ProsV5 framework. Despite the ""Brain"" in the name, this is related to robotics control systems and autonomous movement functions, not biomedical research or neuroscience applications."	BrainROS is a demo program for robotics control that implements autonomous movement functions for what appears to be a VEX robot. The project contains demonstration code for autonomous runs and corresponding movement control functions built on the ProsV5 robotics framework.	Not specified in the available repository information.	ProsV5 (version 3.2.2), VEX robotics platform
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/methylDragon/teleop_twist_brain_bridge	methylDragon	methylDragon	Python		YES - This repository is biomedically relevant as it specifically deals with brain teleoperation using EEG (electroencephalography) data for controlling robotic systems through ROS (Robot Operating System), which falls under neuroscience and brain-computer interface applications.	This code provides a bridge between brain signals (EEG) and robotic control systems using ROS (Robot Operating System). It enables teleoperation of robots or other devices through brain-computer interfaces by processing EEG data and converting it into control commands via rosbridge nodes.	EEG (electroencephalography) data	ROS (Robot Operating System), rosbridge-server, tf2-web-republisher, roslibpy, Python 3.6+, rosbridge websocket
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/roshanss163/roshanss163radiology.github.io	roshanss163	roshanss163	HTML		YES - This repository is directly biomedically relevant as it focuses on functional MRI (fMRI) brain activation analysis using neuroimaging data, specifically exploring neural responses in the ventral temporal cortex and extending findings to Alzheimer's disease neuroimaging biomarkers and clinical applications in radiology.	This project analyzes functional MRI brain activation patterns using the classic Haxby dataset to visualize category-selective neural responses (faces vs. houses) in the ventral temporal cortex. The code creates a web-based showcase with interactive visualizations and extends the neuroimaging findings to clinical relevance in Alzheimer's disease research, proposing future directions for AI-guided fMRI diagnostic protocols.	Functional MRI (fMRI) data, neuroimaging data from the Haxby dataset (2001), brain activation patterns, statistical maps, anatomical brain images	Python, Nilearn (neuroimaging library), Google Colab, HTML5, CSS3, GitHub Pages, Google Fonts (Orbitron & Exo 2)
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/jjangddung/seame_brain	jjangddung	cmh0728; jjangddung	Python		"NO - This appears to be a robotics/automotive project for the SEA:ME team that involves ROS (Robot Operating System) communication, not biomedical research. The term ""brain"" likely refers to a control system or central processing unit for a robot/vehicle rather than biological brain analysis."	This repository contains a customized brain/control system project designed to communicate with ROS (Robot Operating System) for the SEA:ME team. The project appears to be focused on robotics or autonomous systems integration rather than biomedical applications.	Not specified in the available repository information.	ROS (Robot Operating System)
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Costopoulos/NTUA-Robotics-II	Costopoulos	Costopoulos	Python		NO - This repository is focused on robotics coursework for an engineering program at NTUA (National Technical University of Athens). It contains ROS (Robot Operating System) source codes for a Robotics II course, which is general robotics education material unrelated to biomedical research or neurological applications.	This repository contains source code materials for a Robotics II course at NTUA's Electrical and Computer Engineering department. The code appears to be organized into subdirectories with accompanying question sets (QUESTIONS.pdf files) for educational purposes, likely covering various robotics programming exercises and assignments using ROS.	Not specified in the available repository information.	ROS (Robot Operating System)
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/MaidReal/brain	MaidReal	ANonABento; VirtualFlight	Python		"NO. This repository is a ROS 2 bridge/wrapper for llama.cpp designed for ""reasoning-based motor control"" in robotics applications. While it mentions ""brain"" in the name, it is focused on general AI/LLM integration with robotic systems rather than biomedical research, neuroscience, or brain-related medical applications."	This code creates a ROS 2 node that integrates llama.cpp with large language models (like GPT-OSS-20B) for robotics applications. It provides ROS 2 topics (/llama_input and /llama_output) to enable AI-powered reasoning for motor control in robotic systems, supporting both GPU and CPU inference.	Not specified in the available repository information.	ROS 2 (Jazzy), Python 3.12, llama.cpp, CUDA, CMake, Ninja build system, llama-cpp-python, Ubuntu 24, Hugging Face models, GGUF format, std_msgs (ROS 2 message types).
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/ogonek-spider/ros2	ogonek-spider	alarin	Python		NO. This repository is focused on ROS2 (Robot Operating System 2) robotics development, specifically for robot control, simulation, and hardware integration. While robotics can have medical applications, this appears to be a general robotics project without any specific biomedical, neurological, or healthcare focus.	This is a ROS2 robotics project that implements robot control systems using ros2_control framework. The code appears to be developing a spider robot with integration to MuJoCo physics simulation and includes robot description generation from CAD models, along with VSCode development environment setup.	Robot sensor data, URDF (robot description files), CAD model data. The specific sensor modalities are not clearly specified in the available repository information.	ROS2, ros2_control, pixi package manager, colcon build system, VSCode, MuJoCo physics simulator, rqt (ROS GUI tools), onshape-to-robot converter, URDF, and various ROS2 control and simulation packages.
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Zakhar-the-Robot/brain	Zakhar-the-Robot	an-dr			"NO - This repository is for a robotics project called ""Zakhar the Robot"" and specifically contains software for the robot's ""brain"" (control system). It is a general robotics/engineering project and not related to biomedical research, neuroscience, or brain disorders."	"This repository contains the brain software for ""Zakhar the Robot,"" which appears to be the main control system or ""soul"" of the robot. The software likely handles the robot's decision-making, behavior control, and core functionality."	Not specified in the available repository information.	Not specified in the available repository information.
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/elizabethkoh/BrainROS_dataproc	elizabethkoh	elizabethkoh	Python		"YES - The repository name ""BrainROS_dataproc"" suggests it is related to brain data processing, which falls under neuroimaging/brain analysis and is therefore biomedically relevant to neuroscience research."	This repository appears to be a Python-based data processing pipeline specifically designed for BrainROS data. The project requires Anaconda/Spyder for Python development and Microsoft Excel for data handling, suggesting it processes and analyzes brain-related datasets.	Not specified in the available repository information.	Python, Anaconda, Spyder, Microsoft Excel
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/cornellev/brain_ros2	cornellev	sidharthmrao; utkudotdev; selym3; Jklein64; ethanuppal; ChickenCoupe; yuchenie	Python		NO. This repository is a template for robot-specific projects by Cornell Electric Vehicles (cornellev), which appears to be focused on autonomous vehicle/robotics development rather than biomedical research or neurological applications.	This is a template repository built on ROS2 (Robot Operating System 2) designed to serve as a starting point for future robot-specific projects. The repository provides a standardized development environment with Docker support and code formatting guidelines for both C++ and Python development.	Not specified in the available repository information.	ROS2, Docker, Git (with submodules), clang-format (version 19), Black (Python formatter), VSCode DevContainer, C++, Python
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/El7agAdel/ROS_BrainComputer_Interface	El7agAdel	El7agAdel	Python		YES. This repository develops a Brain-Computer Interface (BCI) system specifically designed to help physically impaired patients increase their independence. It uses neurological signals (steady-state visual evoked potentials from EEG) for medical/assistive applications, making it directly relevant to biomedical research and healthcare applications for neurological conditions.	This project implements a generic BCI system using Steady State Visual Evoked Potentials (SSVEP) to help physically impaired patients interact with computers. The system captures brain signals through visual stimulation (LEDs flashing at unique frequencies), processes the EEG data through filtering and feature extraction, and uses machine learning classification to interpret user intent. The goal is to create an assistive technology that increases independence for patients with physical impairments.	EEG signals, SSVEP (Steady State Visual Evoked Potentials) data, neurophysiological signals from visual stimulation	OpenBCI Cyton Biosensing Board (8-channel), ROS (Robot Operating System), Principal Component Analysis (PCA) for feature extraction, Support Vector Machine (SVM), Artificial Neural Networks (ANN), LED array for visual stimulation, signal filtering algorithms
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/coreyt429/rover_ros2	coreyt429	coreyt429			NO - This repository is about robotics development for a personal rover/car project using ROS2. It's focused on autonomous vehicle navigation and control systems, not biomedical research or neurological applications.	"This is a personal robotics project that implements ROS2 (Robot Operating System 2) to control a PiCar-X robot called ""Rover."" The project aims to develop autonomous navigation capabilities as a stepping stone toward building an autonomous lawn cart, using a Raspberry Pi 5 as the main controller."	Not specified in the available repository information.	ROS2 (Robot Operating System 2), Python, Raspberry Pi 5, PiCar-X hardware platform, Sunfounder tutorial materials.
